RA,Dec,Name,Kepler_ID,SpType,[Fe/H],theta,2MASS ID,Data Availability,Observed,Proposals,Seasons on CCD,Teff,Log_G,E(B-V),g,r,J,kepmag,Edge_Distance_0 (px),Channel_0,Module_0,Output_0,Row_0,Column_0,Channel_1,Module_1,Output_1,Row_1,Column_1,Channel_2,Module_2,Output_2,Row_2,Column_2,Channel_3,Module_3,Output_3,Row_3,Column_3,Condition flag
19 00 19.062,+40 41 02.40, V547_Lyr,5429948,  M4IIIa,,,19001907+4041023,0, unobserved,,4,,,,8.109,6.611,2.258,6.199,48,34,11,2,933,410,78,23,2,933,413,50,15,2,936,413,6,3,2,935,409,
18 55 35.718,+42 03 37.01,HD_175884,6584587,      K0,,,18553571+4203367,0, unobserved,,4,,,,7.878,6.56,4.655,6.21,153,33,11,1,819,337,77,23,1,818,333,49,15,1,821,333,5,3,1,821,338,
19 12 15.710,+47 22 29.96,HD_179959,10265370,      K0,,,19121572+4722298,0, unobserved,,4,,,,7.555,6.53,5.062,6.28,91,64,18,4,600,1016,48,14,4,595,1016,24,8,4,595,1020,40,12,4,599,1020,
18 58 46.588,+40 40 45.10, V543_Lyr,5429169,     B3V,-0.05,,18584658+4040450,0, unobserved bCep,,4,,,,6.037,6.182,6.477,6.299,0,35,11,3,1017,565,79,23,3,1017,569,51,15,3,1014,569,7,3,3,1012,565,
19 22 40.906,+37 34 52.40,HD_183354,2156801,      K0,,,19224091+3734523,0, unobserved,,4,,,,7.708,6.599,4.674,6.32,0,4,2,4,996,288,56,16,4,999,286,84,24,4,1001,283,32,10,4,994,282,
19 27 36.396,+37 56 28.31,HD_183362,2715115,    B3Ve,,,19273638+3756283,0, unobserved,,4,,,,6.171,6.285,6.253,6.394,90,3,2,3,797,1017,55,16,3,799,1019,83,24,3,802,1022,31,10,3,795,1023,
20 01 45.227,+44 07 08.57,HD_190149,8262528,M0II-III,,,20014523+4407086,0, unobserved,,4,,,,8.626,6.958,3.682,6.488,88,32,10,4,916,269,4,2,4,918,275,56,16,4,921,273,84,24,4,924,270,
19 17 09.095,+39 01 43.06,HD_181022,3946721,      K5,,,19170907+3901428,0, unobserved,,4,,,,8.498,6.931,3.755,6.496,0,20,7,4,45,192,60,17,4,50,192,68,19,4,53,189,28,9,4,47,188,
18 46 59.069,+46 18 53.72,HD_174177,9630812,    A2IV,,,18465905+4618537,0, unobserved,,4,,,,6.568,6.508,6.276,6.575,72,74,22,2,577,88,70,20,2,581,88,10,4,2,582,83,14,6,2,576,83,
19 34 18.190,+41 55 37.99,HD_184787,6528001,     A0V,,,19341818+4155379,0, unobserved,,4,,,,6.667,6.674,6.617,6.757,333,23,8,3,677,716,39,12,3,680,716,63,18,3,681,720,47,14,3,677,720,
19 19 37.839,+40 16 01.78,HD_181681,5092997,   K4III,,,19193784+4016016,0, unobserved,,4,,,,8.928,7.315,4.122,6.864,57,19,7,3,738,1050,59,17,3,743,1049,67,19,3,746,1052,27,9,3,740,1053,
19 31 16.365,+47 28 52.25,V2083_Cyg,10342012,      A3,,,19311634+4728522,0, unobserved EB,,4,,,,7.143,6.884,6.317,6.902,0,66,19,2,55,1111,26,9,2,59,1111,18,7,2,60,1106,58,17,2,55,1106,
19 25 49.567,+50 51 06.25,HD_183203,12208512,      K5,,,19254956+5051061,0, unobserved,,4,,,,9.018,7.386,4.315,6.928,164,81,24,1,487,180,29,10,1,493,179,1,2,1,493,184,53,16,1,487,184,
18 59 05.754,+43 43 15.66,HD_176626,7943968,     A2V,,,18590576+4343156,0, unobserved,,4,,,,6.849,6.851,6.726,6.933,67,59,17,3,130,147,67,19,3,132,150,27,9,3,127,151,19,7,3,125,147,
